MaStR-Nr. der Stromerzeugungseinheit,Anzeige-Name der Stromerzeugungseinheit,Bundesland der Einheit,Auswertung Energieträger,Bruttoleistung in MW,Nettonennleistung (elektrische Wirkleistung) in MW,Volleinspeisung oder Teileinspeisung?,Anschlussnetzbetreiber,Spannungsebene
SEE921503407342,Turbine/Generator 10,Bayern,Erdgas,37.8,37.6,Teileinspeisung (einschließlich Eigenverbrauch),Bayernwerk Netz GmbH (SNB940352624434),Hochspannung
SEE906215229154,MVA EEW Helmstedt,Niedersachsen,Abfall,42.3,37.5,Teileinspeisung (einschließlich Eigenverbrauch),Avacon Netz GmbH (SNB990362338043),Hochspannung
BNA0735,Thyrow,Brandenburg,Erdgas,,37.5,,50Hertz Transmission GmbH,Hochspannung (HS)
BNA0736,Thyrow,Brandenburg,Erdgas,,37.5,,50Hertz Transmission GmbH,Hochspannung (HS)
BNA0737,Thyrow,Brandenburg,Erdgas,,37.5,,50Hertz Transmission GmbH,Hochspannung (HS)
SEE930596800480,Gasturbinenkraftwerk Ahrensfelde GT A,Brandenburg,Erdgas,38.34,37.104,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Hochspannung
SEE929797382345,Gasturbinenkraftwerk Ahrensfelde GT B,Brandenburg,Erdgas,38.24,37.104,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Hochspannung
SEE988046628214,Gasturbinenkraftwerk Ahrensfelde GT C,Brandenburg,Erdgas,38.34,37.104,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Hochspannung
SEE923527691592,Gasturbinenkraftwerk Ahrensfelde GT D,Brandenburg,Erdgas,38.34,37.104,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Hochspannung
SEE992841152355,Gasturbinenkraftwerk Thyrow GT A,Brandenburg,Erdgas,37.6,37.104,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Hochspannung
SEE957496380690,Gasturbinenkraftwerk Thyrow GT B,Brandenburg,Erdgas,37.6,37.104,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Hochspannung
SEE980421575656,Gasturbinenkraftwerk Thyrow GT C,Brandenburg,Erdgas,37.6,37.104,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Hochspannung
SEE989393516094,Gasturbinenkraftwerk Thyrow GT D,Brandenburg,Erdgas,37.6,37.104,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Hochspannung
SEE947225300921,GT1,Sachsen-Anhalt,Erdgas,37.6,37,Volleinspeisung,InfraLeuna GmbH (SNB982722829230),Hochspannung
SEE930522848685,GT3,Sachsen-Anhalt,Erdgas,37.6,37,Volleinspeisung,InfraLeuna GmbH (SNB982722829230),Hochspannung
